cz,czname,pop2000,fips,statename,stateabbrv,location,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,female,male,age_0_to_19,age_20_to_39,age_40_to_64,age_over_64,asian,black,hispanic,white,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
100,Johnson City,576081.0,47,Tennessee,TN,"Johnson City, TN",0.3512084,0.2322275,0.1658986,0.1309255,0.2924748,0.2673849,0.2612827,0.2488372,0.54650271,0.70752895,0.77546299,0.82993197,0.1599971,10121.918,1.020608,0.1652021,0.1136509,0.1322168,-0.2259772,79.482693,86.810421,61.954966,81.387637,65.74568,92.747629,0.0348657,0.0301532,0.0382395,0.0903837,0.33345,0.14045,0.13459,0.54796,-0.2978583,51.44033,2.084082,0.9285153,0.0520797,0.1048183,0.2002331,0.5873474,0.2373972,1.178371,0.0056398319,0.0046972561,146.2399,0.3252578,31559.77,113443.3433,5.1845472,NA,2.728379,-0.0152656,15.86988,4816.82,-0.0024312,38.3875,0.1898032,0.005402,1886.148,0.0203924,0.0,0.5131155636271765,0.4868844363728236,0.22637779451162593,0.23400482000449518,0.3551135850957193,0.18396405175680797,0.00634245656171919,0.021824547242770404,0.020241393962361968,0.9353958621459028,81.80315,82.23678,84.03031,84.42139,86.32217,86.65188,87.82888,88.09465,75.47626,75.96896,80.27342,80.7042,83.00909,83.38158,84.40936,84.76358,0.219885,0.2203967,0.2678174,0.2687653,0.3314503,0.3232076,0.4296471,0.4119603,0.1725134,0.1846268,0.2130003,0.2226624,0.2841333,0.2803603,0.448818,0.4320931,469268,448883,364376,202619,446528,456216,341333,187282
200,Morristown,227816.0,47,Tennessee,TN,"Morristown, TN",0.4197531,0.2666667,0.1025641,0.16,0.3026316,0.25,0.3076923,0.2,0.50617284,0.73333335,0.82051283,0.83999997,0.19506620000000002,10228.286,0.8969633,0.1622799,0.110258,0.1336717,-0.1557111,82.496276,86.165115,62.141731,84.336291,61.324758,90.005867,0.0262809,0.0278582,0.0253348,0.093153,0.32828,0.1461972,0.10631,0.5375,-0.76735477,54.38951,1.977912,2.348825,0.0597924,0.3597302,0.5183235,0.6249742,0.2377556,2.305532,0.016206061,0.0142351722,130.7883,0.2764278,29958.93,122933.19,4.5058856,NA,-3.400274,-0.0235207,11.72044,4762.23,-0.1011827,37.77675,0.185106,0.0071154,2004.337,0.0234471,0.0,0.5088028235258704,0.4911971764741296,0.2417644026534521,0.23590588748791236,0.3512399959362901,0.17163530460892437,0.006167056105536052,0.018685540341727903,0.05639150082591142,0.9010110359826464,81.32636,81.76405,83.95644,84.34338,84.87222,85.25085,88.1106,88.28977,74.95651,75.41985,80.14446,80.55089,82.09464,82.46941,84.14157,84.47321,0.3287871,0.323234,0.4025942,0.3928564,0.5265231,0.5085154,0.6123719,0.5880654,0.2576599,0.2630057,0.3241824,0.3265341,0.4586596,0.4410926,0.7330061,0.7086179,233428,199116,151926,72675,215500,202248,142344,66137
301,Middlesborough,66708.0,47,Tennessee,TN,"Middlesborough, TN",0.3641026,0.2105263,0.10344830000000001,0.4,0.3208556,0.3555556,0.3928571,0.125,0.47530866,0.68292683,0.80000001,0.93333334,0.17745539999999999,12756.419,0.7123566,0.1853032,0.1009329,0.1193666,-2.703359,81.507197,81.567128,49.508424,77.835793,46.038986,199.63524,0.0240811,0.0146831,0.0258143,0.0642501,0.33404,0.270661,0.10691,0.46685,-1.2702513,66.78059,1.464592,0.616118,0.0680831,0.0136145,0.1534896,0.4789631,0.2335314,0.7078037,0.008050009,0.0116028063,65.57113,0.3585358,22328.48,82250.72537,5.614119,15.084937,-9.315062,-0.0046291,9.077307,11840.4,0.1112985,39.04925,0.2110027,0.0038976,1189.82,0.0153799,0.0,0.5123014030936943,0.4876985969063057,0.23073928213114508,0.2444857070124736,0.35569997454365765,0.16901513903655233,0.004776807774666447,0.01591770114254054,0.006259265359907758,0.9551668887857324,82.44048,82.89065,85.68388,85.94981,85.75001,86.09345,86.43436,86.47567,75.58056,76.09891,80.74966,81.10594,83.15485,83.54399,86.84464,86.92237,0.6701982,0.6438837,0.8890359,0.8532931,1.260725,1.199692,1.929367,1.889282,0.4937935,0.494656,0.7385785,0.7212209,1.211444,1.173253,1.818684,1.774738,59222,42529,25973,9897,59211,43418,24552,9062
302,Knoxville,727600.0,47,Tennessee,TN,"Knoxville, TN",0.3241252,0.2415679,0.1888489,0.117338,0.259366,0.2171429,0.2523364,0.1764706,0.58113205,0.74502367,0.81284404,0.86281586,0.1488756,9913.4986,0.283885,0.1509697,0.1089805,0.1243237,0.5159547,84.625034,88.168352,65.371125,84.774699,67.078261,70.846737,0.0921036,0.0842674,0.1019656,0.2099943,0.35752,0.1300672,0.1508,0.5041,-0.22188462,60.1953,5.636476,1.167125,0.0398584,0.2026009,0.3105841,0.6148306,0.1455054,1.996747,0.0163029137,0.0135541506,225.9577,0.2685696,35884.29,126013.1016,4.8998462,NA,-6.031831,-0.0110711,22.52661,3480.44,-0.0238261,37.84125,0.2056023,0.0053876,2356.851,0.0188704,0.0,0.5120654609892115,0.48793453901078854,0.2408765140156671,0.25691692897686297,0.34287144517666396,0.1591411820745878,0.014125358618541382,0.05997762535437633,0.0329910877156408,0.874466844678022,80.88081,81.41161,83.72463,84.12418,85.69991,86.08134,88.33041,88.53032,74.50594,75.089340000000007,79.54447,79.98375,83.13363,83.53584,85.45316,85.72937,0.2187566,0.2207583,0.2504233,0.2436618,0.2919523,0.2842178,0.2885093,0.2783056,0.1770323,0.1927742,0.2149669,0.2177853,0.2569035,0.2569878,0.287735,0.2827014,505662,511618,487133,419858,466740,485002,472548,397129
401,Winston-Salem,493180.0,37,North Carolina,NC,"Winston-Salem, NC",0.3234228,0.2703297,0.2069445,0.1479769,0.2856049,0.2562358,0.222063,0.1976048,0.6066066,0.74788624,0.81936419,0.87738097,0.1902583,9635.7908,0.506144,0.1670631,0.1022146,0.1253956,0.4681638,81.2134,88.512514,70.065463,82.00701,65.852653,68.49709,0.0718667,0.0610806,0.0806255,0.262388,0.34636,0.1080807,0.11917,0.49991,-0.01779596,48.79375,17.3531,5.798897,0.0507583,0.2669811,0.3164812,0.656087,0.2151985,5.294819,0.022101464,0.0186199765,246.7514,0.2918141,38891.75,143681.8974,5.4626763,15.385281,-2.297035,0.0229661,22.38948,9715.33,0.0515534,36.96925,0.2204709,0.0105767,1891.45,0.0179048,1.0,0.5200765023992142,0.47992349760078584,0.26179486673920177,0.24393474711009858,0.34566429643066476,0.15031251624421257,0.01444368165107521,0.1805370583142585,0.10575901027261597,0.6830258957394904,81.29409,82.03275,84.2243,84.75146,85.66919,86.10728,86.87499,87.21457,75.12552,75.91058,79.74131,80.33028,82.3366,82.83266,85.61615,85.94557,0.2783415,0.2692875,0.2949422,0.2862433,0.3234194,0.3128397,0.4291283,0.4142197,0.2230701,0.2318986,0.2586595,0.2605297,0.3168783,0.3122052,0.372955,0.3612933,353513,380424,373239,303196,316688,345396,347951,281565
402,Martinsville,92753.0,51,Virginia,VA,"Martinsville, VA",0.3173653,0.2142857,0.15,0.2105263,0.2704403,0.3083333,0.2051282,0.3157895,0.58083832,0.69841272,0.92500001,0.86842108,0.2051692,8085.0651,1.660041,0.1675077,0.1167683,0.1473949,-0.1046909,82.361461,85.946664,64.340751,76.993152,64.889147,74.796786,0.0237311,0.0153754,0.0282695,0.1365256,0.33768,0.132409,0.1068,0.53839,-0.90281513,45.44327,22.38095,2.935754,0.0605013,-0.0074585,-0.0388272,0.599393,0.3945067,2.499212,0.0068137958,0.0100697552,105.828,0.3130243,31264.81,99081.31936,5.7398601,NA,4.227381,NA,10.42929,1113.0,-0.1155025,37.29525,0.2408851,0.0079997,1557.879,0.0151883,0.0,0.5223580580698248,0.4776419419301752,0.22449747266956624,0.19797813565299166,0.3660749970612437,0.21023862701304807,0.0036205477841777358,0.22399200658281415,0.04392852944633831,0.7127306923709886,82.29967,83.1584,85.15489,85.64351,86.13053,86.69746,85.24345,85.71341,74.68774,75.74322,82.14489,82.68402,82.43151,83.0819,83.24319,83.7263,0.5269955,0.5095498,0.5755493,0.5502416,0.8199909,0.7748978,1.377982,1.324672,0.3951129,0.4008224,0.5327038,0.5176006,0.6836793,0.6630352,1.174288,1.141008,89396,74119,52717,22792,82853,72945,47929,20207
500,Greensboro,1055133.0,37,North Carolina,NC,"Greensboro, NC",0.2941333,0.2480849,0.1945433,0.1480687,0.2923681,0.2681292,0.2574924,0.2166483,0.58686614,0.73752308,0.80136138,0.87045205,0.197013,8412.7218,0.7173082,0.1629981,0.1054583,0.1319751,0.6465141,82.404289,88.444956,69.845352,82.275367,68.605123,63.477595,0.0676532,0.0575889,0.076798,0.220065,0.3413,0.1117546,0.18228,0.51009,-0.51318038,43.3969,21.75593,4.060341,0.0567848,0.2601868,0.2950876,0.6659446,0.2613469,5.022334,0.0165078715,0.0153705741,238.5104,0.3049326,36581.84,136818.2934,5.0077963,16.678007,-3.715993,0.0155281,19.9377,4528.49,-0.0174335,36.47725,0.2366055,0.0128423,1932.456,0.0172547,1.0,0.5188591693590209,0.4811408306409791,0.25666659052781987,0.2503690619101883,0.3439986937957838,0.14873385327705826,0.02371217485539964,0.23019142152072963,0.0758478272088091,0.6464644926487944,81.49236,82.36854,84.17436,84.73731,85.82317,86.26537,87.68008,87.96936,75.1472,76.11208,79.14356,79.78058,82.41628,82.90731,85.0431,85.38944,0.1965255,0.2005749,0.21328,0.2073812,0.2388049,0.231416,0.2925575,0.2824068,0.153852,0.1721149,0.1865288,0.1905064,0.2309523,0.2306923,0.2941474,0.2862024,775588,764372,699105,524033,695228,721452,660778,485007
601,North Wilkesboro,90016.0,37,North Carolina,NC,"North Wilkesboro, NC",0.2670565,0.2433735,0.164557,0.1079137,0.3002028,0.2925,0.2435897,0.2105263,0.58171207,0.68509614,0.8101266,0.83453238,0.2205963,9252.8978,0.0195327,0.1485884,0.0998839,0.126242,0.6132911,84.899579,89.746651,65.611199,85.726969,72.050149,89.782029,0.0118961,0.008602,0.0124235,0.1140964,0.31958,0.1228724,0.12645,0.56018,-0.19309309,56.13891,3.192766,3.168325,0.0663624,0.1115557,0.1528378,0.617435,0.2753794,2.742685,0.0119756488,0.0118867757,76.07104,0.2893356,31544.06,119797.407,5.2960907,16.17797,6.698189,0.0210332,11.51671,880.0,-0.123175,38.3445,0.1652012,0.0088278,1661.026,0.0135954,1.0,0.5069183304593522,0.4930816695406478,0.2298111482766501,0.21527849915858144,0.35915068663910416,0.19546880518563148,0.0034072258118131014,0.03268028171940249,0.05444289780400141,0.8977936135291795,83.35681,83.71017,84.68778,85.09481,86.64033,86.91823,86.64942,87.039,76.81046,77.23505,80.48697,80.94914,82.34325,82.73815,84.14806,84.52425,0.5243673,0.5023435,0.6704803,0.6387438,0.8944815,0.8503283,1.281442,1.212642,0.4407169,0.436164,0.5984388,0.5856633,0.8374373,0.8149732,1.018285,0.9802181,79038,72700,51842,27287,79581,73665,47086,24426
602,Galax,64676.0,51,Virginia,VA,"Galax, VA",0.3333333,0.3666667,0.3333333,0.0,0.3666667,0.3448276,0.6666667,0.2,0.5,0.73333335,0.44444445,0.80000001,0.2184721,9194.9876,1.508458,0.1759501,0.1183324,0.1350081,0.5164022,84.354618,87.837574,69.937441,82.451969,68.155047,79.44675,0.0054097,0.0041657,0.0056613,0.1311975,0.26915,0.1420254,0.08706,0.60842,-0.80119036,43.0175,2.895974,3.158822,0.0727314,0.0786524,0.1380425,0.5936862,0.3210837,2.285245,0.0055352836,0.0057981322,55.66614,0.325102,30683.01,95959.00743,5.3766793,12.326298,4.899554,NA,9.6167840000000009,NA,NA,40.813,0.1668024,0.0047622,1208.094,0.0140347,0.0,0.5076001331410185,0.49239986685898146,0.21689305923190313,0.19939452536811908,0.3704490339351096,0.21316828073734764,0.0012204593365139243,0.015358767494571334,0.05679098445103105,0.9149957997178678,82.20316,82.62592,84.88033,85.23945,87.63564,87.88142,89.18664,89.37389,77.35186,77.78432,80.10602,80.55271,83.18304,83.56554,84.97939,85.33348,0.6275018,0.6031142,0.7767015,0.7376202,0.8824,0.8383935,1.082329,1.019903,0.5222377,0.5148604,0.6555751,0.6439776,1.001314,0.9674471,1.49373,1.423736,55199,49665,34643,12547,56077,52031,30865,10837
700,Spartanburg,354533.0,45,South Carolina,SC,"Spartanburg, SC",0.316156,0.242623,0.1746032,0.1056,0.3071377,0.2586352,0.2337662,0.1937603,0.56412101,0.71134019,0.79470199,0.86622071,0.2173069,9127.5718,0.688978,0.1631822,0.111126,0.1257871,0.2444411,83.744332,85.040445,67.504115,80.690271,67.326621,74.032029,0.0451206,0.0441604,0.0451741,0.1394965,0.34069,0.1257592,0.13061,0.5285,-1.0008878,59.60855,20.74983,2.516832,0.0584848,0.2371214,0.2851822,0.6295308,0.294631,2.90639,0.0170280341,0.0155584953,181.2923,0.2989705,33416.75,116802.482,5.4214951,15.939934,-1.008695,NA,16.93127,7264.36,0.0066847,36.406,0.246103,0.0102306,2498.805,0.0181788,0.0,0.5152677581171969,0.48473224188280306,0.26402639424495566,0.24592232318196156,0.3386176090517812,0.15141586707231453,0.016717711820429592,0.20262212680226702,0.054154498926525504,0.7072518035389046,81.38117,82.25587,83.92358,84.49867,85.50213,85.89187,88.08351,88.34415,73.70592,74.68555,79.19054,79.84171,81.77335,82.20933,84.27146,84.61806,0.3021564,0.297549,0.3528859,0.3404006,0.4167463,0.4006852,0.4895783,0.4673637,0.2269168,0.2393441,0.2953746,0.2904724,0.3902802,0.3827842,0.5242004,0.5088499,276821,250094,215516,143106,246079,252571,207870,132603
