st,stateabbrv,statename,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,AL,Alabama,81.20861,82.22806,83.85634,84.47481,85.35708,85.80814,86.89996,87.22443,74.1943,75.37608,78.72693,79.43052,81.7552,82.26296,84.11636,84.49781,0.091294,0.116668,0.102648,0.109651,0.1211311,0.1243495,0.1497387,0.1503536,0.0684555,0.1083641,0.0896322,0.105271,0.1159855,0.1257331,0.1331148,0.1374703,3419114,2803243,2520347,2119247,2862389,2728540,2481761,2005954
2,AK,Alaska,82.58357,82.34895,83.81515,83.71201,85.85454,85.58584,87.15709,87.16877,76.53104,76.63939,80.32373,80.52438,82.3308,82.4451,85.39844,85.57583,0.3383909,0.3395571,0.3680765,0.3738216,0.3070748,0.3214031,0.299408,0.2988449,0.2544313,0.2534044,0.2946368,0.2933547,0.2780773,0.2763439,0.2599976,0.2554661,287869,364928,439382,528988,339042,374547,484283,537646
4,AZ,Arizona,82.6461,82.15131,84.39893,84.14719,85.87695,85.78168,87.41205,87.43513,77.44506,77.00763,80.67459,80.47463,82.73809,82.70046,85.12698,85.23003,0.0964498,0.1141299,0.108588,0.1193005,0.1090987,0.1157896,0.1206755,0.1245866,0.0760806,0.0880398,0.0929987,0.0993026,0.1069853,0.1099668,0.1118242,0.112572,3281760,3395651,3120125,3014634,3288830,3113884,2943030,2875894
5,AR,Arkansas,80.5953,81.31077,83.67512,84.12365,85.25621,85.63734,87.32423,87.60146,74.9888,75.7637,79.10002,79.60691,81.67455,82.11507,83.79675,84.15845,0.1081911,0.1167282,0.1323352,0.1386704,0.1647102,0.1634558,0.1929495,0.1889001,0.0873075,0.1093381,0.1131876,0.1263293,0.150405,0.1600874,0.1888808,0.1916349,2070245,1804408,1490854,1025154,1882283,1762111,1408915,949898
6,CA,California,84.43626,82.94646,84.85812,83.53072,86.08279,84.96513,87.83971,86.93984,79.96179,78.73162,81.35151,80.36487,83.10152,82.36922,85.62487,85.16174,0.0420025,0.1807218,0.0486432,0.1832623,0.0484994,0.172989,0.0432199,0.1787154,0.0332416,0.1181163,0.0431599,0.126323,0.0456414,0.1234997,0.0428667,0.1301214,20215088,18383557,18250582,23014857,20578421,17762051,17285647,22682795
8,CO,Colorado,82.91916,82.38782,85.03424,84.83904,86.57111,86.47332,88.5071,88.55565,78.06256,77.59934,81.58447,81.44842,84.03295,84.00169,86.51972,86.63642,0.1210742,0.1378909,0.1236235,0.1286734,0.1192595,0.124242,0.1124487,0.1139831,0.0935459,0.1014499,0.1080101,0.1109776,0.111999,0.1134655,0.112936,0.1135636,2259475,2756610,3056413,3490654,2328427,2657580,2974157,3396603
9,CT,Connecticut,82.61118,82.56622,84.4013,84.57511,86.08732,86.28476,87.94558,88.11147,77.37245,77.37821,80.43161,80.64699,82.9774,83.2354,85.78501,86.01407,0.1472173,0.1472355,0.1381377,0.1355831,0.1320521,0.1324742,0.1150388,0.1175107,0.1230918,0.1227133,0.119306,0.1204961,0.1192807,0.1223941,0.1088248,0.1128698,1434310,1913025,2419573,3500466,1368737,1743518,2275935,3358897
10,DE,Delaware,81.02888,81.68574,83.49125,84.00578,85.45802,85.88902,87.63049,87.71779,74.90432,75.66727,79.42883,79.99835,82.302,82.78882,85.02788,85.23469,0.2376758,0.2352732,0.2498147,0.2447847,0.2526051,0.2454436,0.2695963,0.2688042,0.2012043,0.2062762,0.225325,0.225697,0.2371351,0.2350461,0.2411574,0.2381352,449706,546751,579557,608615,404807,482162,544101,576733
11,DC,District Of Columbia,80.29559,81.95927,83.2933,84.54845,84.89648,85.87092,87.84199,88.30034,74.65273,76.54684,78.324,79.80736,81.60904,82.68696,86.4487,86.92712,0.2911072,0.362453,0.3033271,0.3494703,0.3572703,0.3703135,0.3267976,0.3177454,0.2244201,0.3087161,0.3093182,0.364006,0.4013766,0.4052136,0.3099366,0.2984757,334980,319991,249932,338132,362550,257422,188010,327016
12,FL,Florida,83.12566,82.85593,84.63407,84.43063,86.05415,85.91119,87.67615,87.59914,77.32963,77.18788,80.24153,80.13193,82.47621,82.42184,85.07918,85.07896,0.0469828,0.0768881,0.058209,0.0748461,0.0620236,0.074028,0.0680613,0.0767113,0.0388107,0.0552994,0.049775,0.0601887,0.0600448,0.0656179,0.0651639,0.0691768,13398561,11438087,9454997,8610905,12807322,10520680,8736183,8228656
13,GA,Georgia,81.46613,82.42392,83.85403,84.40408,85.45112,85.8159,87.5004,87.69196,75.08753,76.14535,79.10003,79.73519,81.88492,82.32181,84.74378,85.02697,0.0689536,0.1074678,0.0829588,0.0944107,0.0982165,0.1019132,0.099503,0.1014423,0.0571622,0.0963611,0.0770927,0.0930677,0.0869463,0.0939623,0.0940893,0.0968091,6031611,5297417,4879944,4898034,5183943,4910552,4599771,4771151
