GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55136,*****,53745,*****,42033,109,10156,144,230,65,500,111,0,27,88,102,738,214,55,77,683,194,1391,*****,978,302,101,89,0,27,0,27,16,26,296,317,0,27,0,27,0,27
0500000US01003,01003,"Baldwin County, Alabama",191205,*****,182575,*****,159047,162,17833,431,929,288,1256,269,0,27,200,165,3310,580,385,295,2925,522,8630,*****,6626,691,74,102,70,90,0,27,0,27,1643,647,217,147,157,136,60,49
0500000US01005,01005,"Barbour County, Alabama",27119,*****,25836,*****,12505,166,12528,188,48,42,100,48,0,21,159,166,496,187,0,21,496,187,1283,*****,301,187,37,40,0,21,104,163,0,21,795,261,46,66,46,66,0,21
0500000US01007,01007,"Bibb County, Alabama",22653,*****,22198,*****,16936,21,4791,283,160,118,19,24,0,21,0,21,292,249,0,21,292,249,455,*****,443,14,6,13,0,21,0,21,0,21,6,13,0,21,0,21,0,21
0500000US01009,01009,"Blount County, Alabama",57645,*****,52765,*****,50820,52,847,115,199,112,57,38,0,27,39,52,803,154,3,9,800,152,4880,*****,4107,314,38,64,88,132,0,27,0,27,544,283,103,109,18,23,85,107
0500000US01011,01011,"Bullock County, Alabama",10693,*****,10262,446,2372,18,7640,460,70,92,6,12,48,83,0,18,126,95,0,18,126,95,431,446,431,446,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",20523,*****,20290,*****,11006,22,8975,104,25,23,118,85,0,21,14,22,152,68,32,45,120,57,233,*****,198,63,0,21,0,21,0,21,0,21,35,63,0,21,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",117186,*****,113169,*****,85871,68,24186,276,272,107,939,163,17,19,9,16,1875,355,42,67,1833,362,4017,*****,2254,416,210,147,0,27,0,27,0,27,1285,382,268,166,96,97,172,133
0500000US01017,01017,"Chambers County, Alabama",34091,*****,33933,115,19651,24,13715,147,61,47,214,31,8,13,0,24,284,114,17,26,267,112,158,115,120,109,7,15,0,24,0,24,0,24,31,34,0,24,0,24,0,24
