location,cur_smoke_q1,bmi_obese_q1,exercise_any_q1,poor_share
"Johnson City, TN",0.3512084,0.2924748,0.54650271,0.14045
"Morristown, TN",0.4197531,0.3026316,0.50617284,0.1461972
"Middlesborough, TN",0.3641026,0.3208556,0.47530866,0.270661
"Knoxville, TN",0.3241252,0.259366,0.58113205,0.1300672
"Winston-Salem, NC",0.3234228,0.2856049,0.6066066,0.1080807
"Martinsville, VA",0.3173653,0.2704403,0.58083832,0.132409
"Greensboro, NC",0.2941333,0.2923681,0.58686614,0.1117546
"North Wilkesboro, NC",0.2670565,0.3002028,0.58171207,0.1228724
"Galax, VA",0.3333333,0.3666667,0.5,0.1420254
"Spartanburg, SC",0.316156,0.3071377,0.56412101,0.1257592
"Gastonia, NC",0.2908054,0.2933233,0.58088237,0.1161881
"Charlotte, NC",0.2645408,0.2999733,0.61026871,0.0964086
"Boone, NC",0.3,0.248227,0.7525773,0.1839939
"Morganton, NC",0.2885376,0.2809917,0.62252963,0.1178257
"Hickory, NC",0.2717105,0.2892562,0.60828876,0.0905953
"Franklin, NC",0.2876712,0.3142857,0.56164384,0.1211513
"Sylva, NC",0.3100437,0.2828508,0.63377196,0.1659851
"Asheville, NC",0.3249551,0.258406,0.64526182,0.1110536
"Andrews, NC",0.3333333,0.2428571,0.6111111,0.1340711
"Bennettsville, SC",0.3087248,0.3265306,0.52466369,0.2086626
"Florence, SC",0.2836148,0.3232258,0.60627627,0.1704115
"Fayetteville, NC",0.3044903,0.3633889,0.57923311,0.1586815
"Wilmington, NC",0.3081617,0.3023622,0.63473523,0.1518868
"Rocky Mount, NC",0.2457627,0.3898734,0.58980584,0.1673181
"Raleigh, NC",0.2619358,0.3048916,0.63582093,0.1073191
"Henderson, NC",0.2477612,0.4233129,0.5281899,0.2017338
"Goldsboro, NC",0.2301943,0.4096,0.59226191,0.1610819
"Jacksonville, NC",0.2828332,0.3501027,0.62636817,0.1539724
"Virginia Beach, VA",0.2460589,0.316312,0.59958935,0.1125722
"Washington, NC",0.2700297,0.4254659,0.61834317,0.1704282
"South Boston, VA",0.2348993,0.4068966,0.58862877,0.1702943
"Lynchburg, VA",0.297619,0.4578313,0.55952382,0.1137189
"Richmond, VA",0.2696391,0.292172,0.64126986,0.0929219
"Newport News, VA",0.3013699,0.3366733,0.59727627,0.105895
"Roanoke Rapids, NC",0.2310757,0.4198895,0.60264903,0.2156456
"Gulfport, MS",0.3175331,0.3155108,0.5956403,0.147525
"Laurel, MS",0.2028985,0.3700935,0.522686,0.2083771
"Hattiesburg, MS",0.2463127,0.3242009,0.59264708,0.2071816
"Kosciusko, MS",0.1973684,0.4840183,0.53947371,0.3185766
"Yazoo City, MS",0.2150538,0.3777778,0.54838711,0.3376934
"Jackson, MS",0.2652563,0.3329114,0.55687833,0.1746699
"McComb, MS",0.2902622,0.3909627,0.55909944,0.263202
"Brookhaven, MS",0.2285714,0.3897059,0.55871886,0.1929487
"Jena, LA",0.1875,0.3333333,0.375,0.2287128
"Natchez, MS",0.2834395,0.3934426,0.54603177,0.275439
"Vicksburg, MS",0.2927631,0.3864407,0.48026314,0.2510775
"New Orleans, LA",0.2704617,0.3176856,0.56680733,0.1857542
"Houma, LA",0.2907801,0.3664922,0.5156408,0.1937811
"Baton Rouge, LA",0.2742286,0.2978241,0.59244078,0.1783402
"Alexandria, LA",0.2988095,0.3283208,0.54441625,0.2179813
